time,obj_func,obj_func_max_value
40,obj_1,990000.0
40,obj_2,675000.0
40,obj_3,805000.0
40,obj_4,1095000.0
40,obj_5,1185000.0
40,obj_6,960000.0
40,obj_7,804000.0
40,obj_8,870000.0
40,obj_9,870000.0
77,obj_1,1025000.0
77,obj_2,705000.0
77,obj_3,790000.0
77,obj_4,1035000.0
77,obj_5,1215000.0
77,obj_6,1005000.0
77,obj_7,810000.0
77,obj_8,876000.0
77,obj_9,876000.0
329,obj_1,1045000.0
329,obj_2,675000.0
329,obj_3,820000.0
329,obj_4,990000.0
329,obj_5,1170000.0
329,obj_6,930000.0
329,obj_7,816000.0
329,obj_8,852000.0
329,obj_9,852000.0
656,obj_1,1035000.0
656,obj_2,690000.0
656,obj_3,820000.0
656,obj_4,1080000.0
656,obj_5,1215000.0
656,obj_6,930000.0
656,obj_7,804000.0
656,obj_8,876000.0
656,obj_9,876000.0
965,obj_1,1015000.0
965,obj_2,710000.0
965,obj_3,815000.0
965,obj_4,1050000.0
965,obj_5,1200000.0
965,obj_6,990000.0
965,obj_7,810000.0
965,obj_8,930000.0
965,obj_9,930000.0
1915,obj_1,1085000.0
1915,obj_2,685000.0
1915,obj_3,805000.0
1915,obj_4,1065000.0
1915,obj_5,1185000.0
1915,obj_6,945000.0
1915,obj_7,840000.0
1915,obj_8,834000.0
1915,obj_9,834000.0
2825,obj_1,1020000.0
2825,obj_2,705000.0
2825,obj_3,815000.0
2825,obj_4,1065000.0
2825,obj_5,1335000.0
2825,obj_6,1005000.0
2825,obj_7,864000.0
2825,obj_8,876000.0
2825,obj_9,876000.0
3742,obj_1,1080000.0
3742,obj_2,680000.0
3742,obj_3,825000.0
3742,obj_4,1050000.0
3742,obj_5,1215000.0
3742,obj_6,990000.0
3742,obj_7,846000.0
3742,obj_8,906000.0
3742,obj_9,906000.0
3756,obj_1,1015000.0
3756,obj_2,680000.0
3756,obj_3,815000.0
3756,obj_4,1050000.0
3756,obj_5,1215000.0
3756,obj_6,945000.0
3756,obj_7,834000.0
3756,obj_8,846000.0
3756,obj_9,846000.0
4636,obj_1,1050000.0
4636,obj_2,705000.0
4636,obj_3,835000.0
4636,obj_4,1065000.0
4636,obj_5,1215000.0
4636,obj_6,990000.0
4636,obj_7,858000.0
4636,obj_8,840000.0
4636,obj_9,840000.0
