2021-04-02 19:46:00.230957; 34; 34; 36; 34; 35; 35; 369; 396; 353; 330; 424; 411; 427; 365; 422; 462; 444; 448; 432; 355
2021-04-02 19:56:33.248633; 34; 36; 35; 35; 36; 36; 387; 421; 343; 324; 412; 398; 397; 361; 408; 444; 452; 431; 444; 362
2021-04-02 20:07:01.628802; 34; 36; 36; 36; 34; 34; 377; 371; 345; 307; 412; 403; 423; 363; 414; 435; 446; 413; 427; 352
2021-04-02 20:17:33.969148; 34; 36; 36; 35; 36; 35; 382; 373; 357; 318; 406; 407; 434; 343; 409; 450; 457; 423; 427; 381
2021-04-02 20:28:07.888885; 35; 33; 35; 33; 34; 33; 361; 407; 326; 310; 404; 386; 423; 351; 417; 433; 417; 433; 433; 365
2021-04-02 20:38:43.958281; 31; 32; 34; 33; 33; 33; 332; 380; 333; 308; 403; 380; 388; 339; 397; 412; 399; 387; 417; 344
2021-04-02 20:49:19.196523; 37; 38; 38; 37; 39; 38; 419; 434; 358; 346; 453; 429; 467; 376; 448; 457; 473; 458; 482; 413
2021-04-02 20:59:52.563526; 37; 36; 36; 37; 37; 35; 361; 390; 348; 327; 422; 405; 430; 350; 427; 424; 449; 427; 419; 365
2021-04-02 21:10:27.840853; 34; 36; 35; 35; 38; 35; 377; 424; 339; 329; 444; 396; 449; 360; 434; 457; 443; 421; 439; 367
2021-04-02 21:21:04.468836; 34; 35; 35; 36; 37; 35; 367; 389; 327; 315; 409; 399; 434; 354; 396; 437; 446; 417; 457; 348
