time_elapsed,average_sol
30.0,54.66666666666667
60.0,73.04166666666666
91.0,75.0
120.0,91.5
151.0,106.0
180.0,106.45833333333334
211.0,95.0
300.0,109.0
391.0,146.0
450.0,108.83333333333333
511.0,160.0
600.0,112.08333333333333
750.0,139.0
840.0,103.0
900.0,130.94444444444446
1021.0,161.0
1050.0,138.0
1081.0,168.0
1200.0,167.0
1351.0,140.0
1380.0,133.5
1501.0,136.0
1560.0,149.8
1651.0,194.0
1800.0,146.5
1921.0,233.0
2100.0,146.0
2401.0,171.0
2701.0,193.66666666666666
3000.0,197.33333333333334
