time_elapsed,average_sol
30,79.28571428571429
60,106.85714285714286
90,141.0
120,127.66666666666667
150,154.0
180,130.42857142857142
210,151.0
300,155.33333333333331
391,187.0
450,181.0
511,200.0
600,182.83333333333331
750,156.5
841,176.0
900,155.625
1021,171.0
1050,187.125
1081,202.0
1200,199.75
1350,137.0
1380,181.0
1501,190.0
1560,197.8
1651,200.0
1800,186.75
1921,229.0
2100,152.75
2400,182.33333333333331
2700,204.25
3000,182.5
3402,152.0
3600,187.0
