time,obj_func,obj_func_max_value
38,obj_1,515000.0
38,obj_2,1165000.0
38,obj_3,585000.0
38,obj_4,1110000.0
38,obj_5,1155000.0
38,obj_6,675000.0
38,obj_7,864000.0
38,obj_8,1044000.0
38,obj_9,1044000.0
76,obj_1,525000.0
76,obj_2,1060000.0
76,obj_3,615000.0
76,obj_4,1170000.0
76,obj_5,1215000.0
76,obj_6,720000.0
76,obj_7,954000.0
76,obj_8,1056000.0
76,obj_9,1056000.0
354,obj_1,540000.0
354,obj_2,1085000.0
354,obj_3,620000.0
354,obj_4,1185000.0
354,obj_5,1185000.0
354,obj_6,780000.0
354,obj_7,882000.0
354,obj_8,1068000.0
354,obj_9,1068000.0
673,obj_1,540000.0
673,obj_2,1075000.0
673,obj_3,645000.0
673,obj_4,1170000.0
673,obj_5,1290000.0
673,obj_6,795000.0
673,obj_7,894000.0
673,obj_8,1104000.0
673,obj_9,1104000.0
978,obj_1,510000.0
978,obj_2,1100000.0
978,obj_3,635000.0
978,obj_4,1170000.0
978,obj_5,1170000.0
978,obj_6,780000.0
978,obj_7,894000.0
978,obj_8,1080000.0
978,obj_9,1080000.0
1937,obj_1,555000.0
1937,obj_2,1100000.0
1937,obj_3,650000.0
1937,obj_4,1170000.0
1937,obj_5,1290000.0
1937,obj_6,750000.0
1937,obj_7,900000.0
1937,obj_8,1116000.0
1937,obj_9,1116000.0
2886,obj_1,555000.0
2886,obj_2,1125000.0
2886,obj_3,625000.0
2886,obj_4,1155000.0
2886,obj_5,1185000.0
2886,obj_6,810000.0
2886,obj_7,936000.0
2886,obj_8,1086000.0
2886,obj_9,1086000.0
3761,obj_1,540000.0
3761,obj_2,1105000.0
3761,obj_3,640000.0
3761,obj_4,1185000.0
3761,obj_5,1260000.0
3761,obj_6,750000.0
3761,obj_7,870000.0
3761,obj_8,1158000.0
3761,obj_9,1158000.0
3850,obj_1,520000.0
3850,obj_2,1115000.0
3850,obj_3,660000.0
3850,obj_4,1245000.0
3850,obj_5,1290000.0
3850,obj_6,750000.0
3850,obj_7,948000.0
3850,obj_8,1116000.0
3850,obj_9,1116000.0
4669,obj_1,555000.0
4669,obj_2,1120000.0
4669,obj_3,690000.0
4669,obj_4,1155000.0
4669,obj_5,1260000.0
4669,obj_6,810000.0
4669,obj_7,918000.0
4669,obj_8,1134000.0
4669,obj_9,1134000.0
9893,obj_1,555000.0
9893,obj_2,1115000.0
9893,obj_3,675000.0
9893,obj_4,1185000.0
9893,obj_5,1260000.0
9893,obj_6,825000.0
9893,obj_7,912000.0
9893,obj_8,1098000.0
9893,obj_9,1098000.0
