time_elapsed,average_sol
30,75.57142857142857
60,95.83333333333334
90,120.0
120,120.75
150,108.0
180,111.08333333333334
211,163.0
300,155.375
391,150.0
450,148.2
511,195.0
600,153.45
750,170.16666666666669
840,170.0
900,168.5
1021,188.0
1050,154.1
1081,153.0
1200,194.75
1351,194.0
1380,186.75
1501,230.0
1560,195.0
1650,161.0
1800,184.66666666666669
1921,219.0
2401,219.0
3002,231.0
3601,211.0
